r,l=100,l=50,l=25,l=10,l=5,adaptative_first_improvement,adaptative_non_dominated
1.0,0.9194889505447245,0.9206989234875518,0.923503987244258,0.9181664338280761,0.9296944089458651,0.9000301001534494,0.9122218388591152
0.5,0.9189411160939613,0.9119368734783335,0.9199069527340433,0.9110114684850158,0.9266757360749499,0.9019654961710669,0.9243074634820952
0.25,0.9251972690422084,0.9072133287684057,0.9216217659454581,0.9219527677818493,0.9290042928082118,0.9223828344433228,0.9099067476856939
0.1,0.9148190263921228,0.9154820744359741,0.9217735455025592,0.9213306901262623,0.9272586276847501,0.9237434329238183,0.9164581284652044
0.05,0.9147026093416365,0.9231491554770006,0.9214884155910875,0.9176414648811138,0.9195344394861897,0.9288615645621842,0.889373247705223
