r,l=100,l=50,l=25,l=10,l=5,adaptative_first_improvement,adaptative_non_dominated
1.0,2.2666087517857154e-05,2.2325446664186524e-05,2.1535743623015883e-05,2.303841255704366e-05,1.9792968674603203e-05,2.814429217361115e-05,2.4711980480158748e-05
0.5,2.2820318069940474e-05,2.479220611755954e-05,2.2548408338789697e-05,2.5052733221726204e-05,2.064280859027779e-05,2.7599424657738073e-05,2.1309542836309522e-05
0.25,2.1059037957341263e-05,2.6122014616071447e-05,2.2065640984623038e-05,2.1972454811507956e-05,1.9987255457341292e-05,2.18513791498016e-05,2.5363742685515837e-05
0.1,2.3980800346230178e-05,2.3794133980654777e-05,2.2022910840773824e-05,2.2147586879464304e-05,2.0478708478174615e-05,2.1468333040674603e-05,2.351934777182539e-05
0.05,2.4013574966269866e-05,2.1635638580853203e-05,2.21031827981151e-05,2.31862058373016e-05,2.2653281122519863e-05,2.002743740674604e-05,3.114449092757936e-05
