AS_Prediction,Instance
-0.78197507498,1
-0.7430461820400001,2
-0.7996889327,3
-0.751164965,4
-0.7816703334,5
-0.7377964638,6
-0.8307135604900001,7
-0.867486659555,8
-0.8451116836000001,9
-0.78233941719,10
-0.855200685915,11
-0.78064898147,12
-0.81292372814,13
-0.8995262120699999,14
-0.8341680580349999,15
-0.91009308044,16
-0.922143150785,17
-0.8746622492249999,18
-0.75699315611,19
-0.7837758787,20
-0.74889904875,21
-0.79991707355,22
-0.800286015235,23
-0.79742173178,24
-0.63655165351,25
-0.61293243582,26
-0.6309000523,27
-0.645028154075,28
-0.66690714154,29
-0.651363448745,30
-0.5551785472049999,31
-0.553021375725,32
-0.562356392805,33
-0.56937422611,34
-0.5490118403650001,35
-0.54701561276,36
-0.48150884206,37
-0.48345049249,38
-0.486258867115,39
-0.489178280695,40
-0.4820071582499999,41
-0.4803948113349999,42
-0.8252507568949999,43
-0.7870785051,44
-0.81909417798,45
-0.8112137575,46
-0.8358889595999999,47
-0.852121898265,48
-0.8757560167699999,49
-0.93170233826,50
-0.8868304862249999,51
-0.8999767176700001,52
-0.8837884347299999,53
-0.906096946165,54
-0.91012636301,55
-0.8604159770149999,56
-0.918563175455,57
-0.8376151704250001,58
-0.91637858189,59
-0.8987860136849999,60
-0.771609770175,61
-0.7971689092,62
-0.801111994165,63
-0.810843327295,64
-0.796382927375,65
-0.788983489385,66
-0.62417215124,67
-0.63792750762,68
-0.64465137433,69
-0.61064759776,70
-0.631503887885,71
-0.6407432710300001,72
-0.55259850399,73
-0.550770782775,74
-0.550313971385,75
-0.55734155592,76
-0.5689020743150001,77
-0.545975467735,78
-0.48112767563,79
-0.506374683475,80
-0.48860618191,81
-0.48343934834,82
-0.483065234975,83
-0.477245880125,84
-0.6896647138,85
-0.80321987595,86
-0.7901391529,87
-0.76883826248,88
-0.7327840411,89
-0.7976365188,90
-0.788549378935,91
-0.696843095555,92
-0.775017804495,93
-0.76905155328,94
-0.7675522446099999,95
-0.76806492382,96
-0.863436897775,97
-0.8102057926549999,98
-0.852907215175,99
-0.827590927845,100
-0.863260636915,101
-0.89570869026,102
-0.76844173641,103
-0.7854875918550001,104
-0.75814369298,105
-0.797400691315,106
-0.7745568782000001,107
-0.7922986994750001,108
-0.64920093884,109
-0.64071986215,110
-0.635376770425,111
-0.665667467565,112
-0.642498186135,113
-0.64458695397,114
-0.54511762422,115
-0.5517349271449999,116
-0.567935292495,117
-0.59202608162,118
-0.5575873545150001,119
-0.558901632435,120
-0.498196174245,121
-0.491650929495,122
-0.4838810411899999,123
-0.4749013890749999,124
-0.4920472703999999,125
-0.47730933359,126
-0.8269841605,127
-0.7385668195199999,128
-0.8905506626000002,129
-0.8121231941,130
-0.8028022418,131
-0.822916163675,132
-0.74150232148,133
-0.8122506748699999,134
-0.7613241469400001,135
-0.8806794144,136
-0.8911638993000001,137
-0.866426964225,138
-0.855195157345,139
-0.88133816345,140
-0.92078951899,141
-0.850145578215,142
-0.8129955816600001,143
-0.8750433917,144
-0.775833915575,145
-0.781964424695,146
-0.7612422375350001,147
-0.799925676585,148
-0.79010905193,149
-0.78248460645,150
-0.64307848303,151
-0.6374378509999999,152
-0.64592173978,153
-0.6671090202400001,154
-0.6703657384599999,155
-0.67156445233,156
-0.5527483634,157
-0.552379650225,158
-0.5507069058,159
-0.55732043035,160
-0.5605591211950001,161
-0.55475209231,162
-0.489118721335,163
-0.4921336175949999,164
-0.49346492575,165
-0.48353600685,166
-0.480636907695,167
-0.52356314659,168
-0.8525347875,169
