Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.043956044,0.0359459939,0.4733333333,1.172373133,-0.3985644334,0.1164835165,0.0555352913,-0.5156004881,2.1235597699,0.8624037705,0.8395604396,0.0512375526,-0.9238319592,1.9024961725,0.4103771216,0.4263736264,0.051378768,-0.6843327276,1.6338610755,0.0560046888,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.4088888889,0.1047984544,0.3155359293,2.3765980022,0.9958592325,0.1111111111,0.0765780486,-0.2432432432,1.8351800554,0.0572744408,0.48,0.0996661093,0.5525790824,1.4834692131,-0.2933732823,0.4188888889,0.0143156653,-0.51937046,2.6376106837,0.6760925664,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.2752380952,0.1538146837,-0.0246726494,1.7059104707,0.0194240885,0.1661904762,0.0574366346,0.0226309306,1.3387648002,-0.4328889556,0.5585714286,0.1190099411,-0.1608782788,1.5537434207,0.1889251806,0.3582539683,0.0985656773,0.3572315999,1.6462848146,-0.5984175534,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.1357142857,0.0654653671,-0.0670731707,2.2295918367,0.685827655,0.2476190476,0.0490268102,-0.7634854772,1.7481310075,-0.6817327185,0.6166666667,0.0555328752,-0.5946909667,2.1217155061,0.8478776558,0.3666666667,0.0959497223,-0.7364967188,2.0556310515,-0.2192973524,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.1847619048,0.059047619,-0.0526315789,3.25,-1.5,0.1,0.0571428571,0.3661971831,2.078125,-0.84375,0.7152380952,0.1125019526,0.1781260743,2.9275176023,1.2973086233,0.42,0.0941557546,0.2205822887,2.7905487215,1.2189914434,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.4188888889,0.098857673,-0.6082814781,2.4362829033,-0.4633015139,0.2388888889,0.1401057801,0.1658782718,2.2502373324,-0.5222169876,0.3422222222,0.1381357357,-0.2909241608,2.6532348289,1.0373769397,0.4255555556,0.097853506,0.3162647769,2.3358696696,0.799558908,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.5771428571,0.0534013172,-0.2305534302,1.9844123303,0.5592652955,0.1619047619,0.0276026224,0.4736842105,1.2755102041,0.3943231768,0.260952381,0.0675049339,-0.0366552119,2.8263646598,-1.0849474881,0.24,0.0278642645,-0.9923857868,2.3312516377,-0.772388211,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.2181818182,0.0727272727,0.2178362573,1.615162037,0.5451388889,0.2581818182,0.1001449821,0.4719701818,1.896896563,-0.6352136194,0.5236363636,0.0652296923,-0.4402101327,2.1545306347,0.6683872413,0.2036363636,0.0401283524,-0.0645450471,2.3446674037,0.5521433402,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.4402380952,0.0889769264,0.1001067406,2.2575332531,0.9344558276,0.0647619048,0.0813491676,0.7271200672,1.4826292705,0.5551735633,0.495,0.1606064894,0.3989897626,1.2799515611,-0.4605027143,0.4069047619,0.1756626586,0.6260739982,1.6090538004,-0.3387240901,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.4484848485,0.0197938565,-0.512605042,2.7291666667,0.8675276172,0.0924242424,0.014689939,0.1359447005,3.0377999095,1.362792753,0.4590909091,0.0187209626,0.0288989345,2.5472658162,-1.0858272556,0.2464646465,0.0273660953,0.1657438169,1.3050100602,0.064266813,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.5497619048,0.0377994469,-0.0417122982,3.2051994087,1.4632110345,0.0228571429,0.0286348502,-0.5868886576,1.4512099616,0.5403933775,0.4273809524,0.0362812146,0.296144734,1.4837154774,-0.1800022467,0.3114285714,0.1045712551,-0.2513872845,2.4866502495,0.833774377,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.3371717172,0.12348773,-1.0236292303,2.4436622016,-0.9862162945,0.2237373737,0.0603868088,-0.3908818827,2.3888077333,0.9429713617,0.4390909091,0.0657758047,-1.2779350785,2.3869777248,0.7352881502,0.1849494949,0.0115805339,-0.3628612615,1.9055850148,-0.245638148,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.6838504759,0.096540267,-0.7466638773,1.3087369827,-0.2608749312,0.0965026946,0.0640042232,-0.5449830197,1.6962974699,-0.1361601547,0.2196468295,0.0365642963,-0.9932331206,1.1945929371,0.3453960131,0.1633688797,0.0368625168,0.5193341612,1.5519463962,0.013769197,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.7621052632,0.0309409231,-0.5384615385,1.1666666667,0.4082482905,0.0526315789,0.0470751153,-0.6666666667,1.25,0.0,0.1852631579,0.0226743781,-0.6180048662,1.2285969084,-0.3169627324,0.1852631579,0.0226743781,0.1628440367,1.2285969084,-0.3169627324,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.4694444444,0.0495037098,-0.1218130312,1.2163090306,0.3396432729,0.2361111111,0.0696109116,-0.2448430493,2.4152724248,-0.821216154,0.2944444444,0.0368513866,-0.4545454545,2.008677686,0.4933822002,0.1422222222,0.0301436888,0.0265486726,2.9310018904,1.1731251294,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.5020979021,0.0131531338,0.0365111562,1.187552082,-0.4178480671,0.0797202797,0.0171546569,0.328221561,2.1758398443,-0.3851250017,0.4181818182,0.0192558288,-0.5182307233,2.1409994929,-0.7556177209,0.1603729604,0.0394594013,-0.7274016826,1.6232406683,-0.240667346,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
17,0.5621568627,0.0725207947,0.5229029417,1.3801762631,0.1314553083,0.1795098039,0.0666986659,0.3789319371,1.477584486,-0.1566108572,0.2583333333,0.0140576065,0.0491760398,1.8959704632,-0.5285021096,0.1531372549,0.0418624007,0.1219313617,3.0586842095,1.3685353948,1,1,10,-0.922143150785,-0.94980149664,-0.95763748021
