Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
211,0.2467857143,0.0810556939,0.791906418,1.8975079429,0.2850290846,0.1732142857,0.0636659944,0.820360004,2.6336487104,0.7204706882,0.58,0.0668598392,0.6885982836,1.9719039505,0.2381514798,0.0758333333,0.0130437299,0.4525128412,2.0696876302,0.1795559792,3,0,5,-0.7923057619,-0.7923057619,-0.792225223955
212,0.1902380952,0.0715471238,0.7990795681,2.3768749565,0.1032461371,0.1992857143,0.0650235436,0.7328529876,2.108299255,0.4562559582,0.6104761905,0.0664294248,0.7848294325,2.9258855387,-0.4790040055,0.0626190476,0.015167246,0.470399764,2.7288294593,-0.4583557032,3,0,5,-0.7606216575,-0.7606216575,-0.76044976716
213,0.2353004403,0.1046577078,0.8141752083,1.9097698383,0.0600443874,0.1510515411,0.0609027991,0.8145353834,3.0582573491,0.8969956986,0.6136480186,0.0780136213,0.7043501119,2.4289170301,0.5209555772,0.0715643616,0.0183038349,0.7095524741,2.100568435,-0.3142226205,3,0,5,-0.7508778752,-0.7508778752,-0.7507956898600001
214,0.5130084287,0.0221583806,-0.484103852,2.136784589,-0.8514938186,0.0729681742,0.0107899479,-0.0841532149,2.4880602974,0.856532559,0.4140233971,0.0171986435,-0.6481422785,1.1942742724,0.3997786785,0.0808933093,0.0173137418,0.2108666429,1.2998338468,-0.2225909531,3,0,5,-0.8574701572000001,-0.8574701572000001,-0.85745927705
215,0.6126853791,0.0234619426,-0.3437071455,1.8831968413,0.2085308113,0.0331741377,0.0125477705,-0.6244155085,2.2805866844,-0.1834894518,0.3541404832,0.0178457472,0.1447339941,2.7462639871,1.1233141395,0.0940818321,0.0167239865,0.1984045721,2.3675229873,-0.6275379793,3,0,5,-0.8984518402000001,-0.8984518402000001,-0.8983100074499999
216,0.5784681743,0.0424331891,0.504074055,1.9384548954,-0.199244381,0.0685773336,0.0160803042,-0.0390766412,1.8012654579,0.663039867,0.3529544921,0.0489727126,0.2828389446,2.3220232718,-0.7135624141,0.0874070431,0.0065034199,-0.3794208907,2.003139244,-0.7850515217,3,0,5,-0.7858899158,-0.7858899158,-0.785853812525
217,0.3106,0.0479754104,0.3329359385,2.3341785652,-0.135055979,0.1271,0.0220247588,0.2772604143,2.4070917933,-0.0054125845,0.5623,0.0447013423,0.269443882,2.4458665514,-0.1525068175,0.0812,0.0153805071,0.2271776432,2.4242416583,-0.1149798075,3,0,8,-0.913496305475,-0.90154650091,-0.89647336964
218,0.3452,0.052971313,0.6290957752,2.8205165416,0.2244513708,0.1284,0.0322403474,0.6245559504,3.173399445,0.4472561987,0.5264,0.0435435414,0.4703061307,2.9842763289,-0.2906495383,0.0903,0.0163832231,0.4863084433,2.8387189746,0.4652508908,3,0,8,-0.8594940937000001,-0.8510738379999999,-0.846020564715
219,0.4952974874,0.1820164821,0.8976625327,3.7944674432,1.3065364531,0.0984005025,0.0499634481,0.8785226976,2.5757575663,-0.2514599399,0.4063020101,0.1382904814,0.8829280509,4.3247861557,-1.4907104642,0.0677020101,0.0230438373,0.7878717485,2.2627554329,0.0110736803,3,0,8,-0.8652769420149999,-0.8553397392200001,-0.8532112845100001
220,0.3725,0.035273928,0.226105348,3.4339607765,0.1384155262,0.1132,0.0202178139,0.477887039,3.2263736051,0.3131731409,0.5143,0.027495636,0.0699668847,4.0969824174,-0.0731003882,0.08,0.0159373775,0.4809322034,5.3552607105,-1.1672160155,3,0,8,-0.8189785098650001,-0.876258739425,-0.8744826322
