Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.3119047619,0.086553432,0.2443345037,3.0247004165,-1.3290399754,0.1035714286,0.0585152654,-0.6950232008,2.280418759,-0.7962226193,0.5845238095,0.080952381,-0.4329566687,1.8082826849,0.3934141563,0.3797619048,0.0814758982,0.0615377944,2.24497973,-0.1508928685,1,1,5,0.0,0.0,0.000663
2,0.4533333333,0.0850272288,0.0251916758,2.564140464,0.4635823444,0.2,0.1088662108,0.0336134454,2.7291666667,-0.8675276172,0.3466666667,0.0266666667,-0.0526315789,3.25,1.5,0.4077777778,0.0409154503,-0.213319276,2.4505377607,-0.9161036294,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.2888888889,0.2494438258,0.6399176955,1.2422524565,-0.1315095,0.2246031746,0.2003649983,0.4502415912,1.31438986,0.3421507606,0.4865079365,0.0916520637,0.6332098807,1.9657980447,-0.557396815,0.4412698413,0.0611883659,-0.4368435228,2.2764111519,-0.7458715156,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.5066666667,0.0762063476,0.4230769231,1.1666666667,0.4082482905,0.1111111111,0.099380799,-0.0,1.25,-0.0,0.3822222222,0.0430904876,-0.9627507163,1.5439112721,0.0460847791,0.3822222222,0.0430904876,-0.9627507163,1.5439112721,0.0460847791,1,1,5,0.0,0.0,0.0025075
5,0.3533333333,0.1392040868,0.030400737,2.6187400051,0.6287382634,0.2055555556,0.1105541597,0.0266179541,2.7526017753,-0.9623998473,0.4411111111,0.0339934634,0.0336034318,2.2826402586,0.6120248192,0.4255555556,0.1230075778,-0.0257787325,1.7288748698,-0.0501952065,1,1,5,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.3333333333,0.0596284794,0.6666666667,1.25,0.0,0.6666666667,0.0596284794,0.6666666667,1.25,-0.0,0.4,0.0421637021,0.0,2.5,-0.0,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.4430229081,0.1204537424,0.0525898719,2.2451569089,0.2812990004,0.2284128286,0.0704334344,0.1050886211,1.5774857153,-0.4559097028,0.3285642633,0.1011237737,0.4406439332,1.1908690036,0.3628696799,0.2054011735,0.0570771283,0.0588418882,1.2107212079,0.3719396477,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.2358585859,0.0509975982,-0.6027041389,2.797134308,-1.1519512221,0.1565656566,0.0559900366,-0.2811550152,2.3646090777,-0.9049722292,0.6075757576,0.0498850837,0.5600427922,1.3127306273,0.2037557845,0.2434343434,0.055569328,0.3271252628,1.3784675834,-0.1706048687,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.2511111111,0.0588277833,-0.4070312823,3.0664918442,1.3750588799,0.231010101,0.0380603058,0.2916130378,1.3058322839,-0.0823875223,0.5178787879,0.0656422673,0.5149401553,2.3984887832,-0.8228468153,0.1685858586,0.0225964811,-0.2981334538,1.6399269754,-0.4655957919,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.3667621574,0.0528116722,-1.1733718394,2.4976721238,-0.4787235279,0.1358408488,0.0527726266,-0.6775773454,1.2553328815,0.3709567721,0.4973969938,0.0419589536,-0.7506270139,2.1997366865,-0.8532107361,0.2054818744,0.0291537559,-0.7149019969,2.301553192,-0.7637645656,1,1,8,0.0716785,0.032777,0.0269809999999999
11,0.197979798,0.043610168,-0.7651835011,2.4037477666,1.0100096406,0.1752525253,0.0408623002,0.2944529151,2.4907517637,0.9412719139,0.6267676768,0.045549844,-0.0195648254,1.4316245729,0.4247876271,0.1808080808,0.0277823688,-0.0211096452,2.0491411949,-0.0272501979,1,1,8,0.0260994999999999,0.0406775,0.03625
12,0.56,0.0508967208,-0.1573288059,1.9246169056,-0.5100993646,0.1447619048,0.0456348516,-0.4995640802,2.1188857459,-0.6034003974,0.2952380952,0.0466569475,0.5238095238,1.1666666667,-0.4082482905,0.3085714286,0.0547432681,-0.674611139,2.1260047254,0.4943676339,1,1,8,0.0653645,0.0251319999999999,0.020041
13,0.5993005389,0.0533397409,0.6867671023,2.578962815,-1.0675636565,0.130047013,0.0631257433,0.6248328073,1.2944877221,0.1090911882,0.2706524481,0.04243021,0.0786309273,1.5110314446,-0.4760604022,0.1850171999,0.0520962579,0.3509421664,1.6803122694,0.2364405198,1,1,10,0.0553729999999999,0.0488355,0.0416295
14,0.5574618736,0.1020582765,0.3611739001,2.3343760059,0.8757045637,0.1591394336,0.0622292971,-0.1870313402,3.0677675073,-1.3607740864,0.2833986928,0.0595433087,0.6299639975,1.3287995036,-0.1799641644,0.1429738562,0.0487603164,-0.2360206261,1.7864700685,0.5585215092,1,1,10,0.0332435,0.0551884999999999,0.0496765
15,0.4133333333,0.0672061505,-0.1525918297,2.4561371259,0.7635627509,0.1716666667,0.0759385717,0.3258553345,1.6256859685,0.375866718,0.415,0.0631869654,-0.1392899271,2.1184821837,0.7759323178,0.145,0.0215452438,0.112306188,2.0053138439,-0.2441053142,1,1,10,0.063203,0.0423075,0.033353
