Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
1,0.3396969697,0.1419928994,0.1728432112,2.5963366836,0.9067935819,0.0555555556,0.0702728369,-0.8571428571,1.5625,0.5929270613,0.6047474747,0.1372502416,0.0232253062,2.1717902341,0.09654329,0.4097979798,0.0428782822,-0.4459488798,2.3458146313,-0.8029681947,1,1,5,0.0,0.0,0.000663
2,0.4844444444,0.1027041779,-0.6374122367,1.5874889534,-0.0909245104,0.0444444444,0.0544331054,0.0384615385,1.1666666667,0.4082482905,0.4711111111,0.0997775303,-0.2102473498,3.0563114135,1.3532751773,0.4444444444,0.0877707451,0.1351351351,2.5,0.6816514971,1,1,5,0.0008699999999999,0.0008699999999999,0.001333
3,0.3444444444,0.0871354841,-0.7781402936,1.245984533,0.0948589744,0.2722222222,0.0509175077,-0.646039604,1.2091836735,0.296152851,0.3833333333,0.040824829,-0.9230769231,1.1666666667,-0.4082482905,0.4388888889,0.0618640485,-0.6804635762,2.0793444329,-0.6170311183,1,1,5,0.0072999999999999,0.0072999999999999,0.007845
4,0.0766666667,0.100884973,0.3828684275,1.9628391907,0.7864895614,0.2566666667,0.1042019668,0.479473984,1.8957671378,-0.5897756244,0.6666666667,0.0260820265,-0.2,2.5,0.9128709292,0.3776190476,0.051937517,0.565921461,2.2217861061,-0.8305824454,1,1,5,0.0,0.0,0.0025075
5,0.2666666667,0.1615893286,-0.2226277372,2.3587596197,-0.2830922144,0.1633333333,0.1203698006,-0.0427288177,1.6106952652,0.0347854407,0.57,0.0635959468,-0.3741841914,1.665046492,0.1918015663,0.4133333333,0.1161416759,-0.2209589718,2.5666795133,-0.9357712635,1,1,5,0.0,0.0,0.0
6,0.19,0.1533333333,0.341548149,1.3589261402,0.497205556,0.2822222222,0.1208202419,0.3079107844,1.3395717249,-0.3574275539,0.5277777778,0.0606548625,-0.1579831933,2.6629994144,-0.8722841866,0.4911111111,0.0347122208,0.2857142857,2.5243886052,1.0736207227,1,1,5,0.0078894999999999,0.0074799999999999,0.0076619999999999
7,0.5513846154,0.0840684108,-0.3487057311,1.6128920271,-0.1162274165,0.0967179487,0.0789807523,-0.4442943822,2.621001186,0.812679632,0.3518974359,0.0617469971,0.2432493719,2.7580093734,0.9575114778,0.2166300366,0.0400549744,-0.5862323176,2.2689594628,0.6181249279,1,1,8,0.0137235,0.0299435,0.0300709999999999
8,0.3424242424,0.0994013301,0.1107335033,1.9164087008,0.3049687096,0.1593939394,0.0830457849,-0.6326322758,1.3553186705,0.2789631272,0.4981818182,0.0765078004,0.3690427905,1.5371055003,0.0068478486,0.2096969697,0.0197690987,-0.4743589744,2.304850472,0.3236269296,1,1,8,0.0522455,0.0312579999999999,0.028308
9,0.4293772894,0.1537614279,0.5375375324,1.6643929235,0.3073885959,0.1623443223,0.1167801876,0.4745321035,1.3702668548,-0.3142200516,0.4082783883,0.0615282566,-0.1939947717,1.6436710235,0.1159236821,0.2309157509,0.0320855704,0.6536169646,1.2936217441,-0.0259959862,1,1,8,0.0401615,0.0240804999999999,0.0241185
10,0.4403809524,0.0992719072,0.7196184848,1.5676785528,-0.0686436554,0.188,0.0327020494,0.0786956006,2.0447302871,0.2324494733,0.3716190476,0.0973488013,0.876413787,1.8136712841,0.6630918524,0.2260952381,0.040260377,0.5975356247,1.9509762137,-0.0347202073,1,1,8,0.0716785,0.032777,0.0269809999999999
