Feature,Importance
INF_avg,0.0026370592125450325
INF_sd,0.0011565908094504245
INF_r1,0.0009034440991497788
INF_kr,0.00113987954723926
INF_sk,0.0014032486126092504
SUP_avg,0.0017618323153175762
SUP_sd,0.0014844442204559976
SUP_r1,0.002484844946337929
SUP_kr,0.0012213305800287992
SUP_sk,0.00461333283088434
INC_avg,0.0037241589018520726
INC_sd,0.0017684136131812672
INC_r1,0.0024453167501667806
INC_kr,0.0010716086723840132
INC_sk,0.002318980276379346
IND_avg,0.011074994219592373
IND_sd,0.004407669671194583
IND_r1,0.0018956480917223333
IND_kr,0.0012304157202573261
IND_sk,0.002281201177600254
class,0.011770287684500646
type,0.0034106992159747425
vertices,0.9337945988311759
