Feature,Importance
INF_avg,0.0012424910062217632
INF_sd,0.0010241601759321257
INF_r1,0.001206869150747713
INF_kr,0.0017355561529160918
INF_sk,0.0013502636346591624
SUP_avg,0.001017487605987587
SUP_sd,0.0005771519822924115
SUP_r1,0.0008814205374944853
SUP_kr,0.0006652163250745848
SUP_sk,0.0007051603993079908
INC_avg,0.00196940157104992
INC_sd,0.0005418828443022431
INC_r1,0.001380667945918936
INC_kr,0.0010303665380192405
INC_sk,0.001248482816285931
IND_avg,0.0037807509448396096
IND_sd,0.001442951746708527
IND_r1,0.0006355586649567889
IND_kr,0.0021521237611628156
IND_sk,0.0011005142561597815
class,0.016960589464357037
type,0.006530626495982994
vertices,0.9508203059796223
