Feature,Importance
INF_avg,0.0005475738483847442
INF_sd,0.0012019360367956308
INF_r1,0.0014363780800708858
INF_kr,0.0011050121508291559
INF_sk,0.0008702018573685827
SUP_avg,0.0007543542841989431
SUP_sd,0.000784446984172355
SUP_r1,0.0018970012646918784
SUP_kr,0.0012364923128836806
SUP_sk,0.0010587470541029939
INC_avg,0.0013277467851935225
INC_sd,0.004532257994119085
INC_r1,0.0011368771744497963
INC_kr,0.002284350049276501
INC_sk,0.0011491086762554443
IND_avg,0.0016688933817827051
IND_sd,0.0015102026805410853
IND_r1,0.0007108479507609691
IND_kr,0.0014063651910965831
IND_sk,0.001897847596962269
class,0.0170707155981283
type,0.0061937432374246214
vertices,0.9482188998105101
