Feature,Importance
INF_avg,0.000491730745748214
INF_sd,0.0008130088105265656
INF_r1,0.0007097047304848952
INF_kr,0.0014487549253230914
INF_sk,0.0010617577786945034
SUP_avg,0.0007238597929930624
SUP_sd,0.000537223217981893
SUP_r1,0.0008535303110698484
SUP_kr,0.000792713076075479
SUP_sk,0.0008458961475988083
INC_avg,0.0008626105616350684
INC_sd,0.0009364573126573343
INC_r1,0.0032576800911255713
INC_kr,0.0011892747499401863
INC_sk,0.0036447548407242333
IND_avg,0.0006632725859690683
IND_sd,0.0011790559486928648
IND_r1,0.001097862707536378
IND_kr,0.0008757365846947755
IND_sk,0.0010326940837451625
class,0.01785710637706093
type,0.006073617218327337
vertices,0.9530516974013947
