Feature,Importance
INF_avg,0.00044801763715116006
INF_sd,0.0008267005739496958
INF_r1,0.0007934817466436798
INF_kr,0.0009275130396709599
INF_sk,0.0010708386175925213
SUP_avg,0.0014809304131150416
SUP_sd,0.0007426082371823547
SUP_r1,0.00137175421505191
SUP_kr,0.0010585833076537344
SUP_sk,0.001286761966826069
INC_avg,0.0009744879039122262
INC_sd,0.0021426453348988993
INC_r1,0.0012720638886720209
INC_kr,0.0018926481132642572
INC_sk,0.0009841300603249895
IND_avg,0.002761322594446558
IND_sd,0.001491328213316743
IND_r1,0.0010294084372502582
IND_kr,0.0012176642992446551
IND_sk,0.0017079075073523568
class,0.01740587868353985
type,0.0072335621095797635
vertices,0.9498797630993604
