Feature,Importance
INF_avg,0.008012621766340672
INF_sd,0.000791758070691634
INF_r1,0.0005326043061657511
INF_kr,0.0019858445569221786
INF_sk,0.0007313969337135859
SUP_avg,0.0020027784491086125
SUP_sd,0.00501646732770635
SUP_r1,0.0008020108892104665
SUP_kr,0.0008595481670781536
SUP_sk,0.0006356663803037977
INC_avg,0.005514706546358818
INC_sd,0.0010721944201503308
INC_r1,0.0006660712152014342
INC_kr,0.0005020731822702982
INC_sk,0.0014390923526232569
IND_avg,0.014849941883231943
IND_sd,0.0029493440945174637
IND_r1,0.0007256762211050753
IND_kr,0.00038677920346134165
IND_sk,0.0009709001554111359
class,0.009114636445535316
type,0.004571692863403247
vertices,0.935866194569489
