Feature,Importance
INF_avg,0.0014919186615475507
INF_sd,0.0010108537266451379
INF_r1,0.0010455901160263397
INF_kr,0.0013186057530906244
INF_sk,0.0016663510526136877
SUP_avg,0.0011139735226443086
SUP_sd,0.0026002806852367063
SUP_r1,0.0015207003733108463
SUP_kr,0.0009434772276227552
SUP_sk,0.000528710361719477
INC_avg,0.0036844793903968416
INC_sd,0.0020503035409320863
INC_r1,0.0016357312200460006
INC_kr,0.0007550497832767572
INC_sk,0.003147904556283074
IND_avg,0.02382642562495598
IND_sd,0.00642136035699504
IND_r1,0.0030862715623365114
IND_kr,0.0012459082962832896
IND_sk,0.0018592252261684012
class,0.010247374274590404
type,0.004095020133142055
vertices,0.9247044845541362
