Feature,Importance
INF_avg,0.0009655671470729736
INF_sd,0.0008326818784560062
INF_r1,0.0006841461758007943
INF_kr,0.0016467527295857445
INF_sk,0.0008717296148187893
SUP_avg,0.0010710660823432076
SUP_sd,0.0010012911324456858
SUP_r1,0.00151620223309014
SUP_kr,0.001572535399500801
SUP_sk,0.0010644002392449954
INC_avg,0.002069011358559425
INC_sd,0.0006521655344026037
INC_r1,0.001267321804567921
INC_kr,0.0014851902331998546
INC_sk,0.0011036702016897497
IND_avg,0.0008137297466813095
IND_sd,0.001154228585117571
IND_r1,0.0010189665456640479
IND_kr,0.0013268590854491175
IND_sk,0.0011896325674267496
class,0.017488561622312306
type,0.0071380989711871175
vertices,0.9520661911113832
