Feature,Importance
INF_avg,0.0013862863805341695
INF_sd,0.0007088069295152826
INF_r1,0.0016393452985514986
INF_kr,0.0016601062160498128
INF_sk,0.001258184411682949
SUP_avg,0.0007041562038248713
SUP_sd,0.0006893200820106257
SUP_r1,0.001258405634108916
SUP_kr,0.0009659207012446165
SUP_sk,0.0011239425197452561
INC_avg,0.002066026628545176
INC_sd,0.001131732622830059
INC_r1,0.0006729804414878815
INC_kr,0.0008071891689172935
INC_sk,0.0006961525264299326
IND_avg,0.0015278128917939767
IND_sd,0.0006382566406639525
IND_r1,0.0013205641824831967
IND_kr,0.0015684009743421649
IND_sk,0.0021377522116441216
class,0.01734586781781495
type,0.007100791912458967
vertices,0.9515919976033202
