Feature,Importance
INF_avg,0.0009072171793206634
INF_sd,0.000989874930885154
INF_r1,0.0007817009604407628
INF_kr,0.000840585833898083
INF_sk,0.0008552695486652561
SUP_avg,0.001392177103941704
SUP_sd,0.0007155001627789259
SUP_r1,0.0024494590927619285
SUP_kr,0.000946293966677012
SUP_sk,0.0018896120188684744
INC_avg,0.0012212826284343557
INC_sd,0.0038094942158668986
INC_r1,0.001140704962926321
INC_kr,0.0010368503190282055
INC_sk,0.0008812537479542849
IND_avg,0.002508323510775159
IND_sd,0.002254015920538822
IND_r1,0.0009235843356060812
IND_kr,0.0006561484196108468
IND_sk,0.0017871730083330512
class,0.01717869297767264
type,0.006975336652439162
vertices,0.9478594485025763
