Feature,Importance
INF_avg,0.0025215633670982603
INF_sd,0.0011102542462183766
INF_r1,0.0014976536374766846
INF_kr,0.0007406004857042575
INF_sk,0.001383032968370918
SUP_avg,0.0009097812236078861
SUP_sd,0.000997415980744535
SUP_r1,0.002233744596506976
SUP_kr,0.0007326738942203402
SUP_sk,0.0005483917210806287
INC_avg,0.00242344129037097
INC_sd,0.0016287381478137914
INC_r1,0.004421143298966425
INC_kr,0.0009677317684889518
INC_sk,0.0026761775617244856
IND_avg,0.012197979429289664
IND_sd,0.00631369866703924
IND_r1,0.0048878015769333585
IND_kr,0.0009070612538970187
IND_sk,0.0010773047900249641
class,0.009662151721382977
type,0.00307185654406796
vertices,0.9370898018289712
