Feature,Importance
INF_avg,0.0010029902374022878
INF_sd,0.0007936107884059052
INF_r1,0.0019703455132507627
INF_kr,0.0020445150041188886
INF_sk,0.0012123143422014175
SUP_avg,0.0015225240884436323
SUP_sd,0.0005276352141858693
SUP_r1,0.0007202294470774046
SUP_kr,0.0006969383093078515
SUP_sk,0.0012673198161249843
INC_avg,0.0016569838294344448
INC_sd,0.0009010670375644433
INC_r1,0.0019076838288445968
INC_kr,0.0010656749817108133
INC_sk,0.0009085323693421129
IND_avg,0.0015809905443238278
IND_sd,0.0008970439364589016
IND_r1,0.0010294768819884355
IND_kr,0.0007102749492632718
IND_sk,0.0006556004731854443
class,0.017666754438741987
type,0.007202860544550871
vertices,0.9520586334240718
