Feature,Importance
INF_avg,0.0024736596558006226
INF_sd,0.001672509213715655
INF_r1,0.0008813399885496346
INF_kr,0.0005123285336096332
INF_sk,0.0008858454985727071
SUP_avg,0.0005875959898714929
SUP_sd,0.0009280381342288221
SUP_r1,0.0005562704230277084
SUP_kr,0.0002572129530782291
SUP_sk,0.0007668404553185379
INC_avg,0.0017974129660264383
INC_sd,0.0008089152883783183
INC_r1,0.0022786179369730596
INC_kr,0.0006881424751187885
INC_sk,0.0013457735234050129
IND_avg,0.004798991568794964
IND_sd,0.0010461006120192028
IND_r1,0.0013376535919959302
IND_kr,0.0007202398871623478
IND_sk,0.0003858937857066771
class,0.016800019502087326
type,0.00671917975208877
vertices,0.95175141826447
