Feature,Importance
INF_avg,0.002783591746406297
INF_sd,0.004194142179435504
INF_r1,0.017443392380840715
INF_kr,0.01439995656362095
INF_sk,0.004510151021456347
SUP_avg,0.022183971438388416
SUP_sd,0.003842317639878654
SUP_r1,0.00973542774655648
SUP_kr,0.010725526182413209
SUP_sk,0.00419818330261207
INC_avg,0.006270754482853957
INC_sd,0.003985533434807212
INC_r1,0.0053582355412856485
INC_kr,0.0070991403070536545
INC_sk,0.0042141200647119615
IND_avg,0.02397321213614547
IND_sd,0.0045542966447327795
IND_r1,0.003819487290993206
IND_kr,0.0036081152794022664
IND_sk,0.003708796374249612
class,0.058615612744937484
type,0.01106754791259405
vertices,0.7697084875846241
