Feature,Importance
INF_avg,0.019695844436311748
INF_sd,0.004418582067225738
INF_r1,0.008178240405223
INF_kr,0.03423506029812712
INF_sk,0.025900214491670005
SUP_avg,0.003942654415327709
SUP_sd,0.004636373081497528
SUP_r1,0.006683877458888604
SUP_kr,0.005556313235577741
SUP_sk,0.007808661674875735
INC_avg,0.008670208939366379
INC_sd,0.007411234436236947
INC_r1,0.015529519800209158
INC_kr,0.007548016385529791
INC_sk,0.005771698208274561
IND_avg,0.012638751431542503
IND_sd,0.01044544856899683
IND_r1,0.006016634936729936
IND_kr,0.005055926550181679
IND_sk,0.0072783788652342075
class,0.048550965068603624
type,0.008534923240624758
vertices,0.7354924720037449
