Feature,Importance
INF_avg,0.015123370624115395
INF_sd,0.025080974984516786
INF_r1,0.010542868255011528
INF_kr,0.007455636362088919
INF_sk,0.009522558664981027
SUP_avg,0.013720888780557283
SUP_sd,0.014187869643261727
SUP_r1,0.010253316516716734
SUP_kr,0.008441535505096862
SUP_sk,0.005980453073445334
INC_avg,0.013270973913294317
INC_sd,0.013821845900555551
INC_r1,0.012414873985620035
INC_kr,0.006508907437193891
INC_sk,0.010310501197927447
IND_avg,0.19184125897185916
IND_sd,0.011354253402449261
IND_r1,0.01302788370634636
IND_kr,0.012634520067229493
IND_sk,0.012649028110669137
class,0.0076226554258309225
type,0.005283260718088718
vertices,0.5689505647531441
