Feature,Importance
INF_avg,0.021016377138154983
INF_sd,0.01522536952167725
INF_r1,0.020703869321117414
INF_kr,0.006420074012228255
INF_sk,0.009193718297558903
SUP_avg,0.00968227141019004
SUP_sd,0.01465477286202789
SUP_r1,0.0119532940864134
SUP_kr,0.006292052462234849
SUP_sk,0.009090519817172188
INC_avg,0.013923556123249775
INC_sd,0.008083064653855037
INC_r1,0.02881384246289177
INC_kr,0.005364957114443625
INC_sk,0.010067249097937173
IND_avg,0.13637039139386448
IND_sd,0.009481579692712776
IND_r1,0.01138329807191153
IND_kr,0.005676047270486502
IND_sk,0.01599140370927881
class,0.016053917760994935
type,0.005975065644146795
vertices,0.6085833080754516
