Feature,Importance
INF_avg,0.0058495684056071254
INF_sd,0.0037608545768000566
INF_r1,0.003896892307527343
INF_kr,0.0047273830705626225
INF_sk,0.002611164137206086
SUP_avg,0.005803724250859536
SUP_sd,0.00480190444729581
SUP_r1,0.004688252072359579
SUP_kr,0.0034350999769258046
SUP_sk,0.004373241442974837
INC_avg,0.020178567116117995
INC_sd,0.007907749185405603
INC_r1,0.003824714359617594
INC_kr,0.016904885533954327
INC_sk,0.004155239752146888
IND_avg,0.033118547304453724
IND_sd,0.00742871073381938
IND_r1,0.004686966339068973
IND_kr,0.004845045306334212
IND_sk,0.005794430033973145
class,0.06032933352891755
type,0.011321759426761693
vertices,0.7755559666913101
