Feature,Importance
INF_avg,0.0019258546363395284
INF_sd,0.004076992410603202
INF_r1,0.0052047278959390505
INF_kr,0.00469818069830741
INF_sk,0.003178104673387067
SUP_avg,0.0030782234404307897
SUP_sd,0.004824485479264598
SUP_r1,0.0037991663892571054
SUP_kr,0.008692705506996332
SUP_sk,0.007089741621196624
INC_avg,0.002157138945322014
INC_sd,0.005517532846709414
INC_r1,0.003589428227773661
INC_kr,0.002235119465157569
INC_sk,0.002848394478234235
IND_avg,0.009314602915266066
IND_sd,0.003083791878300412
IND_r1,0.004983925576704813
IND_kr,0.0033610901146442773
IND_sk,0.006131680906542177
class,0.08772233836469723
type,0.012695985032759535
vertices,0.8097907884961669
