Feature,Importance
INF_avg,0.0019036429125789231
INF_sd,0.001792781980319933
INF_r1,0.005262737780603389
INF_kr,0.006581368528097584
INF_sk,0.004201743749535117
SUP_avg,0.0068812750014349945
SUP_sd,0.0035815507562671546
SUP_r1,0.0048009370736157185
SUP_kr,0.003988888183926526
SUP_sk,0.002388315089392863
INC_avg,0.0025033869700858877
INC_sd,0.0050765901387802865
INC_r1,0.005056055116754014
INC_kr,0.003263288769718593
INC_sk,0.007694023302843643
IND_avg,0.014041473528592802
IND_sd,0.011540312862951813
IND_r1,0.004108853781657684
IND_kr,0.0033457135583029735
IND_sk,0.005771275942062825
class,0.08177637959056269
type,0.012761187154580907
vertices,0.8016782182273336
