Feature,Importance
INF_avg,0.0038106490001720674
INF_sd,0.00157037784765909
INF_r1,0.007746068736953183
INF_kr,0.008513106088419932
INF_sk,0.002962410992455338
SUP_avg,0.033509366010468354
SUP_sd,0.007881048083103163
SUP_r1,0.005273337053700482
SUP_kr,0.0219209899602458
SUP_sk,0.005872203828117634
INC_avg,0.0077314271330035395
INC_sd,0.0030165935923258764
INC_r1,0.003296039085626415
INC_kr,0.005883030995575857
INC_sk,0.0032544242346726976
IND_avg,0.009671051547467755
IND_sd,0.010480681860608326
IND_r1,0.002810949781790122
IND_kr,0.004124069072774983
IND_sk,0.0034580330637106367
class,0.05537571297080176
type,0.013397709544287675
vertices,0.7784407195160593
