Feature,Importance
INF_avg,0.010879403656858928
INF_sd,0.012161225783815701
INF_r1,0.03403670287662411
INF_kr,0.009177764329299858
INF_sk,0.009977269717456626
SUP_avg,0.010663404310573141
SUP_sd,0.0239552901501277
SUP_r1,0.007940131475318012
SUP_kr,0.007024257674088237
SUP_sk,0.0068830618529381994
INC_avg,0.030361310233538823
INC_sd,0.011370849001772567
INC_r1,0.05203430977990305
INC_kr,0.008109549623767549
INC_sk,0.008717647227808554
IND_avg,0.12404171165383845
IND_sd,0.00948624965689668
IND_r1,0.006078684158031942
IND_kr,0.006317011707348745
IND_sk,0.009631974646280066
class,0.01661247074760494
type,0.003899355809293669
vertices,0.5806403639268145
