Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.4412121212,0.1035684106,0.0195032365,2.5058328302,-0.1402605686,0.1474747475,0.0841723905,-0.6481944941,2.1458740364,-0.7980808385,0.4113131313,0.0792228346,-0.8425481062,2.0255983358,0.6034648617,0.3305050505,0.0594447663,-0.4550863988,2.5948675208,-0.8546107409,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.4444444444,0.0,1.0,1.0,-1.0,0.0666666667,0.0544331054,-0.6666666667,1.1666666667,-0.4082482905,0.4888888889,0.0544331054,-0.6666666667,1.1666666667,0.4082482905,0.3333333333,0.099380799,0.0,1.25,0.0,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.4622222222,0.1195877693,0.1057934509,1.2445667104,0.1102621427,0.0666666667,0.0544331054,0.4230769231,1.1666666667,-0.4082482905,0.4711111111,0.0708327887,-0.303630363,1.2183334367,0.2623456949,0.4444444444,0.0877707451,-0.1794871795,2.5,0.6816514971,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.4366666667,0.1110888867,0.0186457311,2.5291234141,-0.3130037835,0.0388888889,0.0484322105,-0.5709969789,1.3801939058,0.507129517,0.5244444444,0.0938609426,0.1861531408,1.7826720827,0.1203956419,0.4088888889,0.1047984544,-0.0939381774,2.3765980022,0.9958592325,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.2,0.0699854212,0.4230769231,1.1666666667,0.4082482905,0.2142857143,0.1195228609,0.5,1.2755102041,-0.2561204163,0.5857142857,0.0534522484,0.5588235294,1.8469387755,-0.3436215967,0.3428571429,0.0285714286,-0.3157894737,3.25,-1.5,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.4366666667,0.1110888867,-0.025515211,2.5291234141,-0.3130037835,0.2777777778,0.1648044108,0.2790697674,2.2830578512,-0.4596817244,0.2855555556,0.0702376917,0.3362620286,1.7300866933,0.6089242838,0.4466666667,0.0771082292,0.0066316662,1.8013404929,-0.0499793684,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.4164681296,0.0765182168,-0.2394949305,1.7429496908,-0.0666616732,0.1679498433,0.033006279,-0.1391510045,1.3895269582,-0.382587811,0.4155820272,0.0733414792,-0.6104024605,1.4635131908,0.1224639234,0.1817429467,0.0319735546,-0.5842411323,2.9002236677,-1.2683413478,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.59,0.100884973,0.6155536028,1.6052945215,0.5661686,0.0533333333,0.0653197265,-0.9230769231,1.1666666667,0.4082482905,0.3566666667,0.1245436113,-0.1878777703,1.3103607524,0.0846644199,0.3066666667,0.0701981323,-0.6658024371,1.5144604071,-0.4269602926,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.3742424242,0.0344176263,-0.3076991823,3.2285224802,-1.4838744948,0.1484848485,0.028363881,0.8724796368,1.757006533,0.5402128915,0.4772727273,0.0468908864,0.0095818815,2.1600672369,0.4318300247,0.2075757576,0.0373327649,-0.3230406089,2.1965889067,0.7375275113,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.1444444444,0.064310205,-0.3661202186,1.1963689018,0.3365218792,0.2888888889,0.0571979452,0.0166204986,2.0685297259,-0.4068404933,0.5666666667,0.037679611,-0.3053097345,2.3638941399,-0.7500308204,0.2,0.0207869855,-0.5740740741,1.8469387755,-0.3436215967,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
