Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.4338888889,0.0873018038,-0.0287631286,2.7456541741,1.1939047981,0.0722222222,0.0591868771,0.0863066538,1.1770168255,-0.3864163712,0.4938888889,0.0755310418,-0.2618492527,2.3301334536,0.6060576645,0.3938888889,0.0270687283,0.818891056,2.5763026014,1.1013910377,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.1628571429,0.1095196687,-0.9997830744,2.163855068,0.1095559451,0.2361904762,0.0402486602,-0.5545155578,1.9953507999,-0.8025616631,0.600952381,0.0756168885,-1.1964915157,2.518706699,0.585311403,0.4380952381,0.0519025775,-0.1735849057,1.6830765568,-0.431859524,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.0666666667,0.0421637021,-0.5,2.5,0.0,0.2133333333,0.1066666667,-0.1795774648,1.4189453125,-0.03515625,0.72,0.0979795897,0.3162393162,1.5781893004,0.3477670622,0.3866666667,0.0653197265,-0.6666666667,1.1666666667,0.4082482905,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.1928571429,0.0735402153,-0.3948497854,1.7481310075,-0.6817327185,0.1714285714,0.0233284737,-0.0924369748,2.7291666667,0.8675276172,0.6357142857,0.0784631288,-0.2090578245,2.7905487215,1.2189914434,0.3904761905,0.0379461368,-0.3472622478,1.4415338831,-0.484672555,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.0904761905,0.0380952381,-0.0526315789,3.25,1.5,0.2214285714,0.0142857143,-0.0526315789,3.25,1.5,0.6880952381,0.0523809524,-0.0526315789,3.25,-1.5,0.3952380952,0.0613528511,-0.7493472585,1.984395413,0.7265891066,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.2688888889,0.1237580275,-0.2078683533,2.2505325295,-0.27485297,0.1811111111,0.0634015227,-0.0127854616,2.4395231031,-0.8622876834,0.55,0.1316561177,0.2244224422,2.2281804734,-0.3481291574,0.4055555556,0.0647883544,0.7058823529,1.5469290657,0.1097086537,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.2568443051,0.0563465514,-0.1222511128,1.8994971884,0.198246508,0.1851619645,0.0272276498,-0.0377552067,2.1954540458,-0.6564022551,0.5579937304,0.0303354419,-0.2140127389,1.9472827596,0.3226668446,0.2353187043,0.0238592571,-0.3264205567,1.7932201328,0.2595160405,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.1939393939,0.0309031486,0.2857142857,1.9556213018,0.2715454179,0.2121212121,0.0742269619,0.2333333333,1.9666666667,0.4082482905,0.5939393939,0.0453534229,0.1485507246,2.1339285714,-0.7301958931,0.2242424242,0.0453534229,-0.1904761905,2.1339285714,0.7301958931,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.3733333333,0.0355277669,-0.1666666667,2.8054949415,1.0228064222,0.1773333333,0.0314395363,-0.6961059815,2.3765980022,-0.9958592325,0.4493333333,0.0143604395,0.274952919,1.2285969084,0.3169627324,0.1813333333,0.0361232458,0.723183391,2.0400366771,0.3883163773,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.4563218391,0.080031702,0.1345560696,2.4416302119,0.8065719485,0.1213793103,0.0702809416,-0.6745346295,1.3194236326,0.1470747044,0.4222988506,0.0658314707,0.2740713126,2.1044521097,0.5148614809,0.2825287356,0.0543394983,-0.2170212921,2.284820419,0.8348135279,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
11,0.4154649948,0.0888096374,0.3154418808,2.3094915357,0.9450143622,0.0716823406,0.0362373044,0.7604634615,1.3782865151,0.1311842402,0.5128526646,0.0648949093,0.1301952909,2.6070582345,-0.8986171091,0.1778474399,0.0314342247,-1.0649461932,2.3994628643,-0.8546725371,1,1,8,-0.855200685915,-0.84334081333,-0.8425687089249999
12,0.3001295716,0.1442900662,0.5025712226,2.5828386036,0.7718721829,0.1434399164,0.0612010282,-0.5598455814,1.2746004727,-0.1115070792,0.556430512,0.1189787035,0.8833159845,1.8161209704,-0.6148347295,0.1990637409,0.0275149658,-1.1488575739,1.972363477,0.1272953078,1,1,8,-0.78064898147,-0.83954993176,-0.8429114419399999
13,0.4186813187,0.0254266231,-0.0824646333,1.2905073099,0.2374653495,0.1592621664,0.0209156796,-0.3801929429,2.3297013181,-0.7169669903,0.4220565149,0.0428240653,-0.2104843724,1.8772002303,0.2929270098,0.1717425432,0.0146123407,0.5238095238,1.1666666667,-0.4082482905,1,1,10,-0.81292372814,-0.8435807430300001,-0.843804211205
14,0.6228460039,0.0437840197,-0.7299101576,2.5583017904,1.0028289597,0.0717348928,0.0606284824,0.2310675846,1.3259957374,-0.1944936852,0.3054191033,0.0943597369,0.2172555329,1.9552351907,-0.5408926063,0.2560623782,0.0520739502,-0.1760231939,2.7287347143,-1.0990764683,1,1,10,-0.8995262120699999,-0.870252273205,-0.87448808933
15,0.3133437991,0.1071543861,0.4529726018,1.7676642296,0.6475515514,0.3249607535,0.1161422281,0.4431926128,1.3722421752,-0.3109694821,0.3616954474,0.0281795105,-0.4451701284,1.58595733,0.3388987411,0.1086342229,0.0250211546,-0.2220552108,1.25331254,-0.2067299566,1,1,10,-0.8341680580349999,-0.883145719675,-0.8937313512999999
16,0.534869281,0.0394645396,-0.5756570964,2.0078029625,-0.0424545486,0.1223856209,0.01335878,-0.3166385237,2.5337742158,1.0122108347,0.342745098,0.0372485056,-0.6955061916,1.6889117293,0.365196511,0.1861873638,0.0249630234,0.0851595264,2.0990666721,-0.1465556258,1,1,10,-0.91009308044,-0.89481076328,-0.90014748544
17,0.4599793764,0.085202622,0.0750161615,2.4424473727,0.9486857937,0.1608951273,0.0644543095,0.582851768,1.2432693197,0.2958349509,0.3791254964,0.0579385848,-1.0481849677,2.4416282675,0.0190944906,0.1453412134,0.0377138386,-0.1460934068,1.5086770971,0.567457081,1,1,10,-0.922143150785,-0.94980149664,-0.95763748021
18,0.5212227539,0.1070197406,0.2234374491,2.0237095531,0.4994732338,0.0985778841,0.0518070582,0.1168832797,2.8540598183,-1.1346788452,0.380199362,0.0627599286,0.3369610677,1.6854892685,0.2564844588,0.2455608719,0.0343616005,0.199432343,1.9345294683,0.2931504219,1,1,10,-0.8746622492249999,-0.8681950274349999,-0.87228294636
19,0.5714279331,0.0646380134,-0.521135078,2.0195285963,-0.0150647821,0.07796051,0.0416111035,-0.7160082157,2.8901117382,1.2136429114,0.3506115569,0.0322614656,0.0014172209,2.3142288868,-0.9391851827,0.060511213,0.0081894312,-0.2632852087,2.3172518075,-0.3975077823,1,1,20,-0.74886535544,-0.75699315611,-0.7864238003849999
20,0.7519534875,0.0914412461,0.2819832764,1.5999427995,-0.248642027,0.030122197,0.0284526277,0.538246844,1.401080179,0.2129209777,0.2179243155,0.068703369,0.1734582166,1.3615966189,0.3431395867,0.1195282199,0.069230162,0.1726991642,1.2489288212,0.1440442049,1,1,20,-0.7693178964999999,-0.7837758787,-0.814909627325
21,0.3118889533,0.0542977748,0.4697939003,2.4252851533,0.263670538,0.2245569514,0.0444090813,0.3132283924,3.2687197975,0.0616811806,0.4635540953,0.0381590662,0.6748211058,2.7377677121,0.1913608413,0.0522100674,0.0074427759,-0.035576437,8.0008873358,1.3608382753,1,1,20,-0.74889904875,-0.7619802822899999,-0.79402493736
22,0.6235532747,0.0610783485,0.7837146725,1.5409476617,-0.2128665283,0.0765591398,0.0510431372,0.7167811104,1.402481736,0.0025961395,0.2998875855,0.0118095395,0.8067165391,2.392317666,0.8937002472,0.0668882372,0.0137267157,0.3912345004,1.2324223249,0.280479528,1,1,20,-0.77490415751,-0.79991707355,-0.82360042296
23,0.6558614229,0.0298828494,0.1609210494,1.6696710845,0.2262691507,0.0708725745,0.0259028972,0.3444359113,1.9934536729,-0.480376816,0.2732660026,0.0072082005,-0.5795261134,2.2900161612,-0.7334917389,0.0522633734,0.0080990476,0.4188122199,1.6115862124,-0.2677218217,1,1,20,-0.7858303956849999,-0.800286015235,-0.837772426425
24,0.3984274989,0.0256302829,-0.6832199944,2.0590883561,0.6457795878,0.1906482767,0.021815661,0.1395536158,2.7950944544,-1.1520767339,0.4109242244,0.0106055214,-0.3438228687,1.7327366209,-0.2525159866,0.0748045289,0.0047003061,0.4131656232,2.5280522137,-0.8298980861,1,1,20,-0.770022298175,-0.79742173178,-0.83245623356
25,0.0533333333,0.1066666667,-0.0526315789,3.25,1.5,0.2,0.0421637021,0.0,2.5,-0.0,0.7466666667,0.1146976702,0.0108401084,2.6519357195,-1.017952296,0.3066666667,0.0679869268,0.5454545455,1.9556213018,-0.2715454179,1,1,50,-0.63655165351,-0.651051059885,-0.69311815502
26,0.5688888889,0.0622222222,-0.25,3.25,-1.5,0.0222222222,0.0444444444,-0.25,3.25,1.5,0.4088888889,0.0177777778,-0.25,3.25,1.5,0.4666666667,0.1115546702,-1.0,1.2755102041,0.2561204163,1,1,50,-0.61293243582,-0.6389953431150001,-0.6845963668699999
27,0.5066666667,0.0762063476,-0.5384615385,1.1666666667,0.4082482905,0.0444444444,0.0544331054,-0.6666666667,1.1666666667,0.4082482905,0.4488888889,0.0569166599,-0.3247863248,2.6848602023,1.0627434041,0.4222222222,0.0983819716,-0.1340206186,2.4000416493,0.8850689661,1,1,50,-0.6309000523,-0.63678209746,-0.68863783246
28,0.0666666667,0.0,0.0,0.0,0.0,0.1733333333,0.0326598632,-0.1904761905,1.1666666667,-0.4082482905,0.76,0.0326598632,-0.1904761905,1.1666666667,0.4082482905,0.44,0.0326598632,-0.1904761905,1.1666666667,-0.4082482905,1,1,50,-0.645028154075,-0.6692843360199999,-0.71137667216
29,0.3877777778,0.0716989591,-0.9333210874,2.8834714736,-1.2196992788,0.1166666667,0.1059932446,0.0313504823,1.28465765,0.0622059134,0.4955555556,0.1007625249,-0.2285908914,1.8186053158,-0.4151868853,0.54,0.0602873776,0.1582240763,1.6943303993,-0.4570500312,1,1,50,-0.66690714154,-0.67223448446,-0.712341406145
30,0.0666666667,0.0596284794,-0.3333333333,1.25,-0.0,0.2533333333,0.1146976702,-0.3983050847,2.6519357195,1.017952296,0.68,0.1146976702,-0.0569105691,2.6519357195,-1.017952296,0.3733333333,0.0326598632,-0.6666666667,1.1666666667,-0.4082482905,1,1,50,-0.651363448745,-0.6721724572150001,-0.713126918355
31,0.59,0.1020026232,0.3037224924,1.6390736629,0.4900723676,0.100952381,0.067773131,0.0926640927,1.9393357442,-0.0154510743,0.309047619,0.0590245731,0.1010029173,1.1875977452,0.3748534108,0.229047619,0.0292149746,-0.9365609349,1.4077244458,-0.1501254651,1,1,100,-0.5551785472049999,-0.577489461165,-0.60934755822
