Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
293,0.3535882353,0.1234135171,0.4194795446,2.2877826531,0.141776934,0.2195294118,0.097620053,0.2752962852,3.205329651,0.5739776661,0.4268823529,0.0987499901,0.2735248447,2.5759217074,0.288584701,0.3097058824,0.0918669302,0.2789529974,2.7442647665,0.6390031166,1,1,200,-0.4820071582499999,-0.491291187485,-0.50217961514
294,0.2986842105,0.1224770316,0.3639307783,4.5484163994,0.2781581319,0.2060526316,0.0827509195,0.0310137792,4.8555519245,0.7922441361,0.4952631579,0.1216529736,0.4852416432,3.1211658148,0.1442487236,0.3202631579,0.0629805625,0.1490387593,3.1407642718,0.3484783129,1,1,200,-0.4803948113349999,-0.489434359345,-0.501429124715
295,0.237,0.1134944933,0.4749806253,2.7514559668,-0.2106431673,0.155,0.065,0.4424527136,2.4991071741,-0.0218479745,0.608,0.1074057727,0.3392740862,2.6725578109,0.3128439695,0.352,0.0761314652,0.182851729,3.2440435111,-0.0335042105,1,0,5,-0.8305577276000001,-0.8305577276000001,-0.8252507568949999
296,0.197,0.1176477794,0.5723652262,2.5957829526,0.0719102596,0.14,0.0830662386,0.3687756298,2.0913673598,0.2931133814,0.663,0.1318370206,0.6683665542,3.5039323297,-0.5313452541,0.341,0.0798060148,-0.0965263578,4.1433130344,0.7676645532,1,0,5,-0.7870785051,-0.7870785051,-0.787053407345
297,0.318,0.1310572394,0.4820461944,2.7946210839,-0.2480347805,0.149,0.057,0.3124761494,2.1915967041,0.0391375484,0.533,0.1317611475,0.4917253948,3.6399927292,0.3771899487,0.29,0.0655743852,0.4564198688,2.4505137912,0.2127887028,1,0,5,-0.82023644179,-0.8212515703,-0.81909417798
298,0.277,0.1483947438,0.4903759903,2.4825706341,-0.3154672237,0.162,0.0778203058,0.3753728106,3.1682116189,0.4885760298,0.561,0.1258133538,0.4654252922,2.5107267884,0.3684720842,0.325,0.0687386354,0.2845528455,1.9715293525,-0.2078265621,1,0,5,-0.8112137575,-0.8112137575,-0.81108537694
299,0.3816666667,0.1817583866,0.6496237225,2.4628440798,0.1782432659,0.158,0.0919081667,0.3122445156,3.7621585441,0.5697276335,0.4603333333,0.1270122479,0.5845745058,2.1724777279,0.1282507485,0.2755,0.0829392348,0.5016197238,3.2003998339,0.0289585428,1,0,5,-0.8358889595999999,-0.8358889595999999,-0.8358889595999999
300,0.262,0.134,0.5564002246,2.3756314599,-0.5561455365,0.173,0.0843860178,0.4799069011,4.1286173889,0.7305285826,0.565,0.0934077085,0.1669055673,2.974762112,0.0018405309,0.335,0.0769740216,0.4604801726,2.5031779095,0.1480032461,1,0,5,-0.8523998501,-0.8523998501,-0.852121898265
301,0.324,0.1006180898,0.0845142862,3.6818624091,0.6550268102,0.169,0.0734098086,0.4994208329,2.9264693917,0.501681652,0.507,0.0922008677,0.1669057209,3.1465467482,-0.2058740588,0.327,0.0649692235,0.1020868102,2.0846555795,0.2950607062,1,0,8,-0.8757560167699999,-0.8639684963,-0.8688470772900001
302,0.279,0.1068129206,-0.0916300357,3.5286418427,0.3327740679,0.161,0.0873441469,0.0483918365,2.6244548156,0.2242250125,0.56,0.1072380529,-0.076567774,2.698147448,0.3600279434,0.309,0.0858428797,-0.1575405773,1.9678041358,0.051864109,1,0,8,-0.93170233826,-0.914133370365,-0.91716090797
