r,l=100,l=50,l=25,l=10,l=5,adaptative_first_improvement,adaptative_non_dominated
1.0,5.584743992336627e-05,6.668671980236473e-05,4.56412187476471e-05,6.298902389515903e-05,4.6089228902688496e-05,4.776730577312442e-05,6.931940795740626e-05
0.5,7.020156664294199e-05,6.182566318043647e-05,5.266805764379603e-05,6.202877402517635e-05,5.7062681199088263e-05,5.406824707697452e-05,6.896781088416132e-05
0.25,6.94791438372989e-05,6.69867258953785e-05,6.289590080793355e-05,6.184934454017049e-05,6.958887741135879e-05,6.030311072212303e-05,5.746309433718897e-05
0.1,6.857134676405904e-05,5.874950264246698e-05,6.62535119613348e-05,6.277994197849503e-05,5.672117879613502e-05,7.109803386648704e-05,6.613876413581167e-05
0.05,6.495356056546885e-05,5.263933455037278e-05,5.0389435385566265e-05,5.094630165639156e-05,4.3191441340855714e-05,4.7987754419638156e-05,4.904906672597905e-05
