r,l=100,l=50,l=25,l=10,l=5,adaptative_first_improvement,adaptative_non_dominated
1.0,0.9969069588438926,0.9963066387788312,0.997472217738269,0.9965114310779849,0.9974474052517915,0.997354467046737,0.9961608306124065
0.5,0.9961119733483255,0.9965758623674938,0.9970830449859825,0.9965646133254089,0.996839654213894,0.9970054972317952,0.9961803033799926
0.25,0.9961519838389233,0.996290023313663,0.9965165885846095,0.9965745508047724,0.9961459063810982,0.9966601870459815,0.9968174778291342
0.1,0.9962022610532911,0.9967462317015187,0.996330631457516,0.9965230108204784,0.9968585679006932,0.9960623236236231,0.996336986623436
0.05,0.9964026276523975,0.9970846357788679,0.9972092436520915,0.9971784023047268,0.9976078956198855,0.9973422577720162,0.9972834783069682
