Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
235,0.3431372549,0.1508211536,0.6175197532,4.6687114821,0.9417521577,0.0710784314,0.0662127715,0.4351642558,2.6904762489,0.6887104436,0.5857843137,0.1349250792,0.482238415,4.0913403546,-0.9604875938,0.3642156863,0.1078709857,0.0792016656,3.4393039819,0.3160548658,3,0,50,-0.666655386715,-0.71627400035,-0.7420789615200001
236,0.3838709677,0.2233856411,0.8625244276,3.3656666186,1.1303484234,0.0483870968,0.0588654438,0.4341486705,4.4942036631,1.3671528396,0.5677419355,0.2048006061,0.7563750238,3.2567020511,-1.0228668311,0.3483870968,0.1156913796,0.44939627,2.5708250814,-0.335756774,3,0,50,-0.654268293765,-0.701214160715,-0.729925941635
237,0.3021428571,0.1397537923,0.5752465387,7.8820371592,1.6399117931,0.1028571429,0.0913727508,0.5612334896,3.6447229226,0.9829241164,0.595,0.1207565437,0.3496406587,6.7553825714,-1.1362360257,0.3721428571,0.0880891246,-0.1866522961,3.2419935291,-0.2030915746,3,0,50,-0.6689110068199999,-0.719796031015,-0.753682059685
238,0.4010638298,0.1528068457,0.5278328707,4.3566732509,0.6238764755,0.0425531915,0.0494423406,0.5258606886,2.4770473251,0.8293443968,0.5563829787,0.1500414912,0.4503085035,3.6136519773,-0.4961897242,0.3787234043,0.0903566696,0.3325789345,3.5010443145,-0.4125616078,3,0,50,-0.67933303619,-0.728275202915,-0.752550592535
239,0.3666666667,0.1540693796,0.508908686,5.208741512,1.1521934529,0.0742424242,0.0578938581,0.1789466786,2.3806286358,0.3881941256,0.5590909091,0.1378704626,0.5285480431,4.7271880907,-1.1607246485,0.3378787879,0.1037408653,-0.1405559186,3.1356065592,-0.0007227808,3,0,50,-0.6611575680549999,-0.6924688342149999,-0.7148835092
240,0.3761538462,0.1893526812,0.6755470525,3.9502055325,1.1732084987,0.0561538462,0.0653438787,0.4020197925,4.492769056,1.2605740821,0.5676923077,0.1748473552,0.6356151623,3.533672383,-1.0194514754,0.34,0.1074888187,0.2005874948,2.2907042718,0.0646647013,3,0,50,-0.69465876461,-0.74425826956,-0.771145845295
241,0.4063829787,0.1823653748,0.6847036401,3.3270774956,0.989488814,0.0829787234,0.0621225588,0.3074338786,2.6060396797,0.3988195511,0.5106382979,0.1574180537,0.44061351,3.2778962302,-0.6339375785,0.2978723404,0.0785218812,0.4991420573,3.0570415041,0.1032826083,3,0,100,-0.63302201099,-0.66390477136,-0.68509748032
242,0.3437984496,0.1295501687,0.2660909985,5.1706294696,0.8238007061,0.0488372093,0.0598658436,0.3472361041,4.3264891158,1.2912276146,0.6073643411,0.1271483256,0.2504229991,4.290226569,-0.4987458702,0.3724806202,0.1071044626,0.1298817344,3.1233678322,-0.0773940474,3,0,100,-0.595011946115,-0.6210142785749999,-0.645038617095
243,0.372,0.1766805026,0.9067015406,4.7945594145,1.1792912188,0.07,0.0529150262,0.3625192012,2.6530612245,0.3644657418,0.558,0.159172862,0.8283904106,4.5264105615,-1.0832602821,0.342,0.1045753317,0.525219237,2.8575490625,-0.2334869139,3,0,100,-0.5615059439950001,-0.5891749910649999,-0.61170771282
244,0.3689655172,0.136718811,0.6266454195,5.7840265537,1.3454181185,0.050862069,0.0612311754,0.2555641254,3.998281512,1.2626658517,0.5801724138,0.1248929387,0.4601620746,5.6251834265,-1.0121118348,0.3732758621,0.0956896552,-0.1868613923,3.6119477818,0.163517791,3,0,100,-0.5585932635849999,-0.58971509602,-0.6088793138249999
245,0.6416666667,0.1765801675,0.7611079054,1.6272984757,-0.043724396,0.05,0.040824829,0.3333333333,1.5,0.0,0.3083333333,0.1511529762,0.5507783543,1.8668064781,0.3110169979,0.2333333333,0.0745355992,-0.0714285714,2.715,-0.3242298567,3,0,100,-0.57980462498,-0.608800751285,-0.62846752209
246,0.3291666667,0.1256695034,0.3658383139,6.5140008494,1.3714015303,0.0546296296,0.0599139186,0.3123563955,7.8815844692,1.7588783595,0.6162037037,0.1224421072,0.3147676988,5.3138559677,-1.0393011269,0.3648148148,0.0943445368,0.1589286745,2.5375795081,-0.0504497933,3,0,100,-0.5697551597649999,-0.60168974737,-0.6221742636250001
247,0.3039940828,0.1156677039,0.1818114993,5.6834652626,0.8290959168,0.0670118343,0.0712251608,0.3597510512,3.4984469953,1.0701947711,0.6289940828,0.1205369887,0.1861837929,4.3119237275,-0.4166738063,0.3815088757,0.1021504065,-0.0001048304,3.1912958622,0.1225798279,3,0,200,-0.504919672565,-0.523934196675,-0.531080500745
248,0.3161538462,0.1295280464,0.2864230986,6.9455728003,1.3450951027,0.0712820513,0.0682822005,0.2624611165,3.2624050744,0.8569117251,0.6125641026,0.1267284185,0.2835159927,5.0525282441,-0.8102079195,0.3620512821,0.0976435035,0.1869449603,3.053676323,0.193168617,3,0,200,-0.50253039077,-0.523201653985,-0.5316862891899999
249,0.3092105263,0.124844779,0.4246457502,7.6488072829,1.4474710125,0.0676315789,0.0635955233,0.317128403,3.3692848568,0.8837396504,0.6231578947,0.1261391309,0.3990483381,4.9723198514,-0.834931336,0.3657894737,0.1070570821,0.0609566506,2.8617746096,-0.0242305605,3,0,200,-0.507861336915,-0.526979684315,-0.5371820549449999
250,0.3818181818,0.1753862326,0.8234444055,3.6038721938,1.0720876131,0.0554545455,0.0528055845,0.353062156,2.6541330914,0.7077259271,0.5627272727,0.1573121338,0.7722972729,3.0316529318,-0.9531385056,0.3554545455,0.0937466253,0.2456207289,3.5822840029,0.3879948855,3,0,200,-0.51894070718,-0.537686795785,-0.5410109280600001
251,0.3155963303,0.156904875,0.7027795518,8.0685197808,1.8893835725,0.0825688073,0.0785114223,0.1805289172,4.5220626314,1.1556776351,0.6018348624,0.1559120261,0.5395807738,5.2265609364,-1.0108352721,0.369266055,0.1172913445,0.0667935642,2.9237002821,0.0741957412,3,0,200,-0.5161404049,-0.5346176103,-0.53680764037
252,0.3518987342,0.1595966113,0.6751143954,4.480603338,1.0934779024,0.0740506329,0.0724178974,0.4491714997,2.4792481775,0.6752046488,0.5740506329,0.1416138357,0.4554348707,3.7416434768,-0.8041098342,0.3727848101,0.1113204601,0.2409320529,2.2188442974,-0.2028107887,3,0,200,-0.50550452889,-0.523664151275,-0.5276793091850001
