Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
288,0.2824,0.0654999237,-1.72525e-05,2.1662897549,0.401609517,0.1572,0.0500815335,-0.2797215309,2.627185304,-0.063604371,0.5604,0.0591594456,-0.0989550904,2.1645799345,0.1816004991,0.1544,0.03125124,0.1625575053,3.3552073152,1.0125144769,1,1,100,-0.54701561276,-0.55602344983,-0.588571974125
289,0.2463130551,0.0480955358,0.6952655624,1.5028604079,-0.0744968911,0.0961957433,0.0677923573,0.5160422145,4.9684129786,1.5984074255,0.6574912016,0.0713811518,0.6690638514,2.1819105056,-0.5035378027,0.1843053461,0.042538207,0.2846129981,2.3004065658,0.3603970581,1,1,200,-0.48150884206,-0.4934560797349999,-0.5037693478199999
290,0.319126112,0.0462659614,-0.2696137835,1.7589793258,0.4190450645,0.1133292633,0.0704776483,0.289110971,4.1845170078,1.592085277,0.5675446247,0.0543356142,0.2117632596,3.2958588441,-0.659528978,0.1652324748,0.0276096551,0.1380053251,2.3189414364,-0.4747347212,1,1,200,-0.48345049249,-0.4903417929499999,-0.5051928852249999
291,0.2862811791,0.0595849081,0.0912077797,3.6947015602,-0.6105055841,0.1046572475,0.0841423687,1.1473030599,2.8354938566,1.114719322,0.6090615733,0.063143718,0.446652849,1.5004674152,-0.1412681476,0.217032967,0.0359676029,0.2987023465,1.664650543,-0.2917892337,1,1,200,-0.479870428365,-0.486258867115,-0.502139292855
292,0.5561965812,0.1250616993,0.6584521383,1.7025582308,-0.0894872444,0.1431875314,0.0311907525,-0.0392616769,2.8475375642,-0.7110612379,0.3006158874,0.1256477327,0.7532062531,1.7699848717,0.2829337216,0.1935888125,0.0213678085,-0.6052179551,2.1543800387,-0.2740386828,1,1,200,-0.489178280695,-0.497909299165,-0.5089116274050001
293,0.3945087687,0.1535177345,0.3408147503,3.2658791115,0.9759116361,0.1414077528,0.0524087647,0.3942210224,2.1950142474,-0.6884608435,0.4640834785,0.1256123119,0.1705030436,2.0741392491,-0.5298679961,0.1777084683,0.0185063676,0.4978549816,2.2531857849,-0.4359945678,1,1,200,-0.4820071582499999,-0.491291187485,-0.50217961514
294,0.3764676241,0.0891940867,0.6165519449,2.2518167296,-0.2274681345,0.1474637576,0.0294633057,0.373254255,4.0153710481,-1.274244786,0.4760686183,0.0786398019,0.5739728788,2.2035705967,-0.0357090058,0.2129806481,0.0476584134,0.4222518082,2.3914874034,-0.3063133738,1,1,200,-0.4803948113349999,-0.489434359345,-0.501429124715
295,0.225994376,0.1643838206,0.7412771814,1.4331767739,0.0849222946,0.1525856859,0.0512103808,0.6936369854,1.6477637833,-0.2864972249,0.6214199381,0.1183798467,0.6384290696,1.4352839691,0.0477230906,0.2379225713,0.0317384882,0.2854356155,1.5523645132,0.0244795251,1,0,5,-0.8305577276000001,-0.8305577276000001,-0.8252507568949999
296,0.4341473341,0.0914756934,0.7920450099,2.3875243333,-0.5683050925,0.103011803,0.0938767768,1.0367407157,2.7924509442,1.0774694524,0.4628408628,0.0361148595,-0.1627203499,3.3601299269,-0.9926875913,0.238013838,0.048600382,0.0120142635,1.4006238757,-0.1146399803,1,0,5,-0.7870785051,-0.7870785051,-0.787053407345
297,0.0833333333,0.0600068583,0.380952381,1.7448979592,0.0661300071,0.1697530864,0.0975035123,0.3929007075,1.6922883844,0.4779250559,0.7469135802,0.0531007733,0.545212766,1.8110390796,0.2540953455,0.25,0.0453609212,0.2173913043,2.625,-0.0,1,0,5,-0.82023644179,-0.8212515703,-0.81909417798
298,0.6205535206,0.1255648762,0.3725463254,1.4742501196,-0.2077558781,0.0614977615,0.0586671569,0.1965491832,1.2886145415,0.0957107699,0.3179487179,0.087458895,0.2932914461,1.9432936161,0.8431736457,0.3011701262,0.054554725,-0.4704259953,1.5492137582,0.4344489686,1,0,5,-0.8112137575,-0.8112137575,-0.81108537694
299,0.2832038332,0.107102869,0.2765302301,4.0534621322,-1.1335488904,0.1600707934,0.0400096588,0.530870338,1.4370211945,0.3414064602,0.5567253734,0.0760588789,-0.04664287,4.9943180627,1.5107907505,0.1934775101,0.0286264156,-0.2580166132,2.4597436751,-0.7285050532,1,0,5,-0.8358889595999999,-0.8358889595999999,-0.8358889595999999
300,0.2407148407,0.086083551,0.2251088089,1.5762956401,0.3883196545,0.2333851334,0.0540353377,0.3506913962,4.4973170687,-1.3538619264,0.5259000259,0.0734350373,0.3038848819,2.4318821419,-0.5502104438,0.2209272209,0.0450132018,-0.140821937,2.1578825486,-0.5495992012,1,0,5,-0.8523998501,-0.8523998501,-0.852121898265
301,0.5044,0.1053785557,0.6521868102,4.0585688092,1.2122582205,0.1028,0.0307922068,0.7036714198,3.8345956868,-0.7571770905,0.3928,0.0859078576,0.6295278124,3.0600058852,-0.6746467352,0.118,0.0236643191,0.5568706697,3.667755102,-0.6483540497,1,0,8,-0.8757560167699999,-0.8639684963,-0.8688470772900001
302,0.3024,0.049499899,0.0195666266,1.9249239493,-0.1158870661,0.1692,0.036212705,0.0751164743,2.5504390243,0.1404100206,0.5284,0.0534924294,0.3433802155,3.5572604479,1.0263523403,0.1156,0.0302099321,0.0155099043,2.4543304175,0.4414828487,1,0,8,-0.93170233826,-0.914133370365,-0.91716090797
303,0.3848,0.069461932,0.3779340009,2.5758932712,0.1668799339,0.1208,0.0448927611,0.3260643954,4.2534551034,0.7989230623,0.4944,0.0654877088,0.3197678359,2.5604328,0.3466037256,0.1392,0.0201831613,0.0098695189,2.0506269866,0.3135775686,1,0,8,-0.8868304862249999,-0.8738915218900001,-0.8691500379500001
304,0.3112,0.0563077259,0.1752181204,3.1892075647,-0.0820925802,0.1616,0.0367347247,-0.0510263846,3.9949004641,1.0634900565,0.5272,0.0616129856,0.1605462648,2.2743019012,-0.1777323312,0.1276,0.0254998039,0.1280687834,3.3027909259,0.9634858709,1,0,8,-0.8999767176700001,-0.8857887765499999,-0.887865041485
305,0.4988,0.10771518,0.8873148559,1.7200790884,-0.3376848821,0.096,0.0248193473,0.6119442252,2.7034069826,-0.1193036596,0.4052,0.0890896178,0.9201211844,1.6497457702,0.4116002183,0.1232,0.0339081111,0.78646417,1.9494713218,0.2167315153,1,0,8,-0.8837884347299999,-0.9277232765,-0.93625581119
306,0.332,0.044810713,-0.0288016595,3.5264122792,0.1109580995,0.13,0.022627417,0.2232142857,2.5573730469,0.0621480569,0.538,0.0437264222,0.0764494613,2.525367203,0.287064448,0.1256,0.0311229819,0.5936625912,2.3498321843,-0.6942247054,1,0,8,-0.906096946165,-0.8865492848100001,-0.89279934144
307,0.5012345679,0.0943455465,-0.1065054016,1.7066335147,-0.2133131739,0.1265432099,0.1134862735,-0.234008327,1.0672289136,-0.2067893067,0.3722222222,0.0351364184,-0.5304054054,1.125,-0.158113883,0.4030864198,0.0580378236,-0.7630150642,5.4930923814,-1.8783175561,1,0,10,-0.91012636301,-0.914993446775,-0.92117906575
308,0.1,0.129338297,0.5316205534,1.777978241,0.7403565673,0.1814814815,0.0709044064,0.4981626458,1.7566049184,-0.3126983969,0.7185185185,0.1255713964,0.3354582357,1.787411116,-0.4367963632,0.4814814815,0.0862255313,-0.179144385,2.3773164853,-0.7644486671,1,0,10,-0.8604159770149999,-0.8804328081899999,-0.88981780296
309,0.3666666667,0.0743974423,0.0684062059,1.7599051976,-0.476081531,0.1080246914,0.1034756458,0.3507488282,1.2628069553,0.1002564879,0.525308642,0.0825315798,0.0855945015,3.5384206138,-1.2863832929,0.4604938272,0.0969862903,-0.2682960754,1.7199707267,0.2436156397,1,0,10,-0.918563175455,-0.926416614525,-0.935211152905
310,0.2604938272,0.0927200768,-0.0029343736,3.8856510089,-0.094489766,0.1012345679,0.0835912789,0.1586088969,1.9177564011,0.1461784855,0.6382716049,0.1132644563,0.7028170971,1.885137079,-0.2440615285,0.362345679,0.0698704355,-0.1915603734,1.834945779,-0.5854205616,1,0,10,-0.8376151704250001,-0.863942254485,-0.8700563128900001
311,0.137037037,0.1020704724,0.3755059956,1.4646414237,-0.4271996184,0.2666666667,0.1307622477,0.0204460967,2.6138813226,0.6211841585,0.5962962963,0.0674846932,-0.2745229327,2.3674698795,-0.7323127587,0.35,0.0895806416,0.170212766,1.6370414201,0.3821223939,1,0,10,-0.91637858189,-0.8970126677450001,-0.91895510179
312,0.3745230079,0.2029538067,0.5588824023,1.9212352189,-0.378506493,0.1164983165,0.0870472937,0.4372785535,1.4650096251,-0.4124302442,0.5089786756,0.1424478767,0.3796922664,2.3989492219,0.6906365501,0.4365319865,0.0871221474,-0.2586043373,2.127984454,0.5988149525,1,0,10,-0.8987860136849999,-0.89821118195,-0.90610138664
313,0.2528,0.0513435488,0.3125841759,2.0278665722,-0.4454065818,0.1492,0.0330962233,0.3686224116,2.905477664,0.3020327615,0.598,0.0605309838,0.2866857065,2.0310015065,0.1523634153,0.1356,0.0331155553,0.1883690971,3.3233444414,0.0451822644,1,0,20,-0.78400185537,-0.771609770175,-0.799221209245
314,0.2724,0.0490941952,-0.3277406681,1.6646214248,-0.2562990058,0.1264,0.0342788565,0.1169851623,2.7894010228,0.4443277089,0.6012,0.058536826,-0.3923944541,2.987042625,0.1676272059,0.1592,0.0356561355,-0.1116508764,6.1810849271,1.5532540105,1,0,20,-0.788865566635,-0.7971689092,-0.82619861704
315,0.2536,0.0365381992,0.21255857,2.9574990417,0.1930077945,0.1376,0.0332601864,0.2929281026,2.7523371352,-0.4550025108,0.6088,0.0502250933,0.3568151682,2.6616229485,0.0271748842,0.16,0.0238327506,-0.170212766,2.8540964094,-0.5318755088,1,0,20,-0.7810578754499999,-0.801111994165,-0.8321010733850001
316,0.2972,0.0461753181,0.0857080726,2.0952931249,-0.1619846737,0.122,0.0274226184,-0.2008966695,2.4376414667,-0.2094869559,0.5808,0.0492276345,0.1079607505,2.4752682849,0.0142789364,0.1488,0.0303736728,0.1978253674,2.5032812825,0.2599052424,1,0,20,-0.82554844907,-0.810843327295,-0.8454361348400001
317,0.3072,0.0369345367,-0.0089192718,2.5911581794,0.1222773199,0.1376,0.0264242313,-0.0840945982,5.8024119935,0.5073669926,0.5552,0.0463137129,0.0684760367,2.7528874949,-0.3765007481,0.128,0.044362146,-0.0831162488,1.7710192346,-0.1253540712,1,0,20,-0.7917278535450001,-0.796382927375,-0.82996662579
318,0.2708,0.0509054025,-0.2210689158,2.7687282231,0.0171340431,0.1244,0.0333562588,0.5005911193,1.8853485111,0.1052977267,0.6048,0.0430924587,0.1346735529,2.7384605359,-0.3115535256,0.1616,0.0236101673,-0.3694223211,2.2058549432,0.1185443482,1,0,20,-0.8050527539600001,-0.788983489385,-0.8230634097199999
319,0.2752,0.0705475726,0.4021743392,2.515728313,-0.2815655921,0.178,0.0410852772,0.1518128418,3.1127445475,0.7177303816,0.5468,0.0579461819,0.2549121836,2.286737677,0.1543267767,0.0992,0.0304525861,0.1890684417,2.2958722872,0.3054539711,1,0,50,-0.62417215124,-0.646291280255,-0.6943686958549999
