Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_HV,SPEA2_HV,MOEAD_HV
1,0.0482295482,0.0341443992,0.4449977535,1.5007542631,-0.699227754,0.1294261294,0.0439645223,-0.4204373241,2.3451647312,0.1971702651,0.8223443223,0.0461887187,-0.0447032307,2.7848285274,0.9534076139,0.3742368742,0.0724054754,0.1924049674,1.8578894153,0.3290061977,1,1,5,-0.7822976916,-0.7822976916,-0.78197507498
2,0.362962963,0.153245636,0.3921433494,4.1599484671,-1.0182355357,0.1345679012,0.0757576173,-0.0807580045,2.3881682354,0.0800218901,0.5024691358,0.111668697,0.3790233936,2.7706615793,0.5631037619,0.3858024691,0.0573841716,0.1959091021,2.4902205239,-0.8734464272,1,1,5,-0.7430794881,-0.7430794881,-0.7430461820400001
3,0.3047619048,0.1442480786,-0.2020387163,1.8206663746,-0.100816542,0.1886243386,0.0781270278,0.1958721812,2.1960250085,0.1209261378,0.5066137566,0.1362272041,0.0814731664,2.4360509467,-0.1529378347,0.3842151675,0.1042566006,0.17124048,2.6894008191,0.0911297873,1,1,5,-0.7996889327,-0.7996889327,-0.79936463358
4,0.2235449735,0.1229233879,0.7952949936,1.9169692301,0.3810880535,0.2116402116,0.0670570998,0.2766906344,2.0649496586,-0.4087911425,0.5648148148,0.0813465178,0.2291337117,2.6731900474,0.0065868304,0.3796296296,0.0768335224,-0.7098235413,3.1186262043,-0.6654262635,1,1,5,-0.7517813631,-0.7517813631,-0.751164965
5,0.2256613757,0.1098670592,0.0706841112,4.8430248556,1.3461566091,0.1335978836,0.0846974105,-0.0985885524,4.1702876859,0.9546787791,0.6407407407,0.1478980315,0.489103394,2.886452722,0.1148325086,0.4026455026,0.0862742179,0.1154003719,3.3504691235,1.3122444877,1,1,5,-0.7816703334,-0.7816703334,-0.7816703334
6,0.4549382716,0.1056836275,-0.1614995848,2.139219058,-0.6117789484,0.1759259259,0.1322486746,0.4644655848,2.1551326413,0.3178086661,0.3691358025,0.1175630208,-0.2672493841,2.3874106905,0.5776587644,0.4185185185,0.0793924115,0.1935641747,3.4792708875,0.9269966792,1,1,5,-0.737683458135,-0.7377964638,-0.73774623906
7,0.5202116402,0.0781052746,0.2704453352,2.2812135058,0.3218430639,0.1822222222,0.0331863729,0.2434464796,2.0123995421,-0.0850994432,0.2975661376,0.0685289567,0.1391258011,4.2437297089,-1.1302435464,0.222010582,0.0391196766,0.2877800086,1.8417862856,-0.5787841286,1,1,8,-0.8307135604900001,-0.8201250117400001,-0.8160555260600001
8,0.2713804714,0.107300222,0.7831564679,2.772482261,0.7951480563,0.2332556333,0.0824581985,0.3977371471,2.0812564315,0.0180573041,0.4953638954,0.077662574,0.0522931814,2.8162946255,-0.138104555,0.2476560477,0.0597334336,0.6965296089,1.638836013,-0.1508617373,1,1,8,-0.867486659555,-0.909953838135,-0.908781593595
9,0.4412800163,0.0709470897,0.1042633821,3.1018849237,0.9552455162,0.1251526252,0.0956061889,0.6958466925,1.6421734511,-0.24248105,0.4335673586,0.1385536758,0.4945338829,1.5354711814,0.5543261914,0.310958486,0.1705648898,0.6294501087,1.8753446983,0.7000761956,1,1,8,-0.8451116836000001,-0.86560129819,-0.866006241915
10,0.3108866442,0.1772817778,0.9378521353,1.5555131363,-0.6433656233,0.1624579125,0.1106894355,1.3335022925,4.7990261328,1.6986460788,0.5266554433,0.100933691,0.5248922395,2.5899871952,1.1077476782,0.2295173962,0.0346949325,-0.1857851375,2.1676047345,-0.1647158047,1,1,8,-0.78233941719,-0.8456695959699999,-0.847007191905
