Instance,INF_avg,INF_sd,INF_r1,INF_kr,INF_sk,SUP_avg,SUP_sd,SUP_r1,SUP_kr,SUP_sk,INC_avg,INC_sd,INC_r1,INC_kr,INC_sk,IND_avg,IND_sd,IND_r1,IND_kr,IND_sk,class,type,vertices,IBEA_IGD,SPEA2_IGD,MOEAD_IGD
25,0.275,0.1479019946,0.0215827338,1.8457142857,0.4346507596,0.175,0.1479019946,-0.4065934066,1.8457142857,0.4346507596,0.55,0.1658312395,-0.9428571429,1.6280991736,-0.4933822002,0.45,0.15,-0.4857142857,2.1851851852,-0.8888888889,1,1,50,0.0515355,0.0554309999999999,0.0427585
26,0.2333333333,0.0471404521,-0.8,1.5,0.7071067812,0.0666666667,0.0471404521,-0.5,1.5,-0.7071067812,0.7,0.0816496581,-1.0,1.5,0.0,0.4666666667,0.0942809042,-0.5,1.5,0.7071067812,1,1,50,0.0498334999999999,0.052097,0.04009
27,0.375,0.2487468593,-0.7196261682,2.2549739822,1.065949198,0.15,0.15,-0.037037037,2.1851851852,0.8888888889,0.475,0.1920286437,-0.6,1.5733984487,-0.2780305557,0.35,0.05,-1.0,1.0,-0.0,1,1,50,0.0542244999999999,0.0618279999999999,0.0448845
28,0.2,0.1,-1.0,1.0,-0.0,0.2,0.2,-1.0,1.0,0.0,0.6,0.1,-1.0,1.0,0.0,0.55,0.05,-1.0,1.0,-0.0,1,1,50,0.045764,0.04826,0.0343935
29,0.25,0.05,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.7,0.0,0.0,0.0,0.0,0.55,0.05,-1.0,1.0,-0.0,1,1,50,0.0433395,0.0528094999999999,0.039564
30,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,50,0.0508094999999999,0.0519045,0.037777
31,0.33,0.1268857754,0.0390775144,2.5283360981,0.5991597126,0.13,0.0640312424,0.4190871369,2.2944675788,-0.3656751498,0.54,0.1428285686,0.0618762475,3.6320645905,-1.1366979506,0.45,0.0921954446,-0.3939393939,2.1626297578,0.382818455,1,1,100,0.0367414999999999,0.0373735,0.0287364999999999
32,0.45,0.05,-1.0,1.0,0.0,0.05,0.05,-1.0,1.0,0.0,0.5,0.1,-1.0,1.0,0.0,0.45,0.05,-1.0,1.0,0.0,1,1,100,0.0414785,0.0421315,0.0329825
33,0.3111111111,0.1369869778,0.3827618165,3.4648545706,-0.9786647577,0.1888888889,0.1099943882,-0.3962900506,2.6845064556,0.2205843312,0.5,0.1054092553,0.2,3.06,-0.0,0.4555555556,0.0831479419,-0.1014925373,2.4757653061,-0.1765833205,1,1,100,0.04111,0.0451695,0.035891
34,0.28,0.0871779789,0.4708994709,2.6786703601,-0.507129517,0.17,0.11,0.098805646,2.7441431596,0.6130728775,0.55,0.162788206,0.1958762887,1.5468138127,0.0,0.46,0.1019803903,-0.6810344828,3.7307692308,0.8598938233,1,1,100,0.047386,0.0479794999999999,0.0375945
35,0.32,0.1166190379,-0.8181818182,1.6280276817,0.3631734744,0.14,0.1019803903,-0.1728395062,1.9556213018,0.2715454179,0.54,0.1624807681,-0.6978193146,1.4421487603,-0.3804646085,0.46,0.1356465997,-0.1764705882,2.3638941399,0.7500308204,1,1,100,0.0395375,0.042892,0.032139
36,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,1,1,100,0.0346655,0.043118,0.0345965
37,0.4222222222,0.1133115447,0.4176470588,2.5417899408,-0.4431470361,0.1222222222,0.0628539361,-0.2395209581,2.37890625,-0.2099223257,0.4555555556,0.0955813919,0.3822152886,1.9996347699,0.2230697933,0.4555555556,0.0831479419,-0.512295082,2.4757653061,-0.1765833205,1,1,200,0.0358815,0.0391355,0.0362904999999999
38,0.2923076923,0.1567042214,0.3151774178,2.3028073741,0.3672733865,0.2,0.1074172311,0.2307692308,1.9066666667,0.1861898673,0.5076923077,0.1356553238,-0.0258503401,2.2663434001,0.1378418877,0.4384615385,0.1303159565,-0.2812962216,3.8117859874,0.9310813967,1,1,200,0.0204275,0.028503,0.0253224999999999
39,0.3363636364,0.1431637795,0.1360619469,2.1859391259,0.2749962427,0.1545454545,0.0987525499,0.3567888999,1.8837977593,0.4400034614,0.5090909091,0.12398347,-0.2199376947,1.9734651405,0.1135332503,0.3727272727,0.0749655568,-0.4289580514,1.919550173,0.4922046508,1,1,200,0.0227415,0.0299765,0.026005
40,0.2444444444,0.1065740339,-0.2552926526,1.7849716446,0.1450535054,0.1666666667,0.1414213562,0.2335766423,3.7592592593,1.3094570022,0.5888888889,0.1662958839,0.3001043841,1.8364955357,-0.2583127628,0.4666666667,0.1247219129,-0.2857142857,2.2346938776,0.3054414193,1,1,200,0.0201165,0.0267365,0.026228
